x, y
-0.009148264984227128, 0.16824604141291108
0.06403785488958989, 0.16685749086479904
0.1417981072555205, 0.16500609013398296
0.21269716088328072, 0.1633861144945189
0.2950315457413249, 0.16153471376370282
0.3659305993690851, 0.15968331303288674
0.4345425867507886, 0.15713763702801462
0.47799684542586746, 0.15505481120584652
0.5305993690851735, 0.15412911084043848
0.5923501577287066, 0.15412911084043848
0.6449526813880125, 0.1538976857490865
0.6952681388012617, 0.1522777101096224
0.7364353312302838, 0.1495006090133983
0.7776025236593059, 0.14626065773447017
0.8256309148264983, 0.13954933008526188
0.8782334384858044, 0.13260657734470158
0.9354100946372239, 0.1235809987819732
1.0131703470031546, 0.10969549330085263
1.090930599369085, 0.09442143727161997
1.1664037854889588, 0.07891595615103532
1.2350157728706623, 0.06433617539585872
1.3082018927444794, 0.05021924482338612
1.3699526813880125, 0.03725943970767357
1.4408517350157728, 0.023373934226552984
1.5460567823343847, 0.002082825822168088